strategy,delta_km,n,c_cons,M,haulage,cons_share,transport,S,A,Acc,Cap,V,L,phi,bind,technical_value,licensed,place,state,lat,lon,class,nearest_hub,great_circle_km,road_km,scenario
Refurbishment,0.0,200,400,850,0.0,2.0,2.0,848.0,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Chennai,Tamil Nadu,13.0827,80.2707,metropolitan,Chennai,0.0,0.0,observed_metro_density
Component harvesting,0.0,200,400,200,0.0,2.0,2.0,198.0,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Chennai,Tamil Nadu,13.0827,80.2707,metropolitan,Chennai,0.0,0.0,observed_metro_density
Material recycling,0.0,200,400,-35,0.0,2.0,2.0,-37.0,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Chennai,Tamil Nadu,13.0827,80.2707,metropolitan,Chennai,0.0,0.0,observed_metro_density
Refurbishment,0.0,200,400,850,0.0,2.0,2.0,848.0,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Kolkata,West Bengal,22.5726,88.3639,metropolitan,Kolkata,0.0,0.0,observed_metro_density
Component harvesting,0.0,200,400,200,0.0,2.0,2.0,198.0,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Kolkata,West Bengal,22.5726,88.3639,metropolitan,Kolkata,0.0,0.0,observed_metro_density
Material recycling,0.0,200,400,-35,0.0,2.0,2.0,-37.0,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Kolkata,West Bengal,22.5726,88.3639,metropolitan,Kolkata,0.0,0.0,observed_metro_density
Refurbishment,0.0,200,400,850,0.0,2.0,2.0,848.0,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Pune,Maharashtra,18.5204,73.8567,metropolitan,Pune,0.0,0.0,observed_metro_density
Component harvesting,0.0,200,400,200,0.0,2.0,2.0,198.0,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Pune,Maharashtra,18.5204,73.8567,metropolitan,Pune,0.0,0.0,observed_metro_density
Material recycling,0.0,200,400,-35,0.0,2.0,2.0,-37.0,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Pune,Maharashtra,18.5204,73.8567,metropolitan,Pune,0.0,0.0,observed_metro_density
Refurbishment,0.0,200,400,850,0.0,2.0,2.0,848.0,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Ahmedabad,Gujarat,23.0225,72.5714,metropolitan,Ahmedabad,0.0,0.0,observed_metro_density
Component harvesting,0.0,200,400,200,0.0,2.0,2.0,198.0,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Ahmedabad,Gujarat,23.0225,72.5714,metropolitan,Ahmedabad,0.0,0.0,observed_metro_density
Material recycling,0.0,200,400,-35,0.0,2.0,2.0,-37.0,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Ahmedabad,Gujarat,23.0225,72.5714,metropolitan,Ahmedabad,0.0,0.0,observed_metro_density
Refurbishment,400.0,40,900,850,0.46,22.5,22.96,827.04,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Lucknow,Uttar Pradesh,26.8467,80.9462,mid_periphery,Moradabad,307.7,400.0,state_capital_collection
Component harvesting,400.0,40,900,200,0.46,22.5,22.96,177.04,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Lucknow,Uttar Pradesh,26.8467,80.9462,mid_periphery,Moradabad,307.7,400.0,state_capital_collection
Material recycling,400.0,40,900,-35,0.46,22.5,22.96,-57.96,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Lucknow,Uttar Pradesh,26.8467,80.9462,mid_periphery,Moradabad,307.7,400.0,state_capital_collection
Refurbishment,305.9,40,900,850,0.35,22.5,22.85,827.15,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Jaipur,Rajasthan,26.9124,75.7873,mid_periphery,Delhi-NCR,235.3,305.9,state_capital_collection
Component harvesting,305.9,40,900,200,0.35,22.5,22.85,177.15,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Jaipur,Rajasthan,26.9124,75.7873,mid_periphery,Delhi-NCR,235.3,305.9,state_capital_collection
Material recycling,305.9,40,900,-35,0.35,22.5,22.85,-57.85,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Jaipur,Rajasthan,26.9124,75.7873,mid_periphery,Delhi-NCR,235.3,305.9,state_capital_collection
Refurbishment,644.4,40,900,850,0.73,22.5,23.23,826.77,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Bhopal,Madhya Pradesh,23.2599,77.4126,mid_periphery,Ahmedabad,495.7,644.4,state_capital_collection
Component harvesting,644.4,40,900,200,0.73,22.5,23.23,176.77,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Bhopal,Madhya Pradesh,23.2599,77.4126,mid_periphery,Ahmedabad,495.7,644.4,state_capital_collection
Material recycling,644.4,40,900,-35,0.73,22.5,23.23,-58.23,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Bhopal,Madhya Pradesh,23.2599,77.4126,mid_periphery,Ahmedabad,495.7,644.4,state_capital_collection
Refurbishment,474.4,40,900,850,0.54,22.5,23.04,826.96,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Bhubaneswar,Odisha,20.2961,85.8245,mid_periphery,Kolkata,364.9,474.4,state_capital_collection
Component harvesting,474.4,40,900,200,0.54,22.5,23.04,176.96,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Bhubaneswar,Odisha,20.2961,85.8245,mid_periphery,Kolkata,364.9,474.4,state_capital_collection
Material recycling,474.4,40,900,-35,0.54,22.5,23.04,-58.04,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Bhubaneswar,Odisha,20.2961,85.8245,mid_periphery,Kolkata,364.9,474.4,state_capital_collection
Refurbishment,549.8,40,900,850,0.63,22.5,23.13,826.87,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Nagpur,Maharashtra,21.1458,79.0882,mid_periphery,Hyderabad,422.9,549.8,state_capital_collection
Component harvesting,549.8,40,900,200,0.63,22.5,23.13,176.87,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Nagpur,Maharashtra,21.1458,79.0882,mid_periphery,Hyderabad,422.9,549.8,state_capital_collection
Material recycling,549.8,40,900,-35,0.63,22.5,23.13,-58.13,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Nagpur,Maharashtra,21.1458,79.0882,mid_periphery,Hyderabad,422.9,549.8,state_capital_collection
Refurbishment,609.9,40,900,850,0.7,22.5,23.2,826.8,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Patna,Bihar,25.5941,85.1376,mid_periphery,Kolkata,469.2,609.9,state_capital_collection
Component harvesting,609.9,40,900,200,0.7,22.5,23.2,176.8,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Patna,Bihar,25.5941,85.1376,mid_periphery,Kolkata,469.2,609.9,state_capital_collection
Material recycling,609.9,40,900,-35,0.7,22.5,23.2,-58.2,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Patna,Bihar,25.5941,85.1376,mid_periphery,Kolkata,469.2,609.9,state_capital_collection
Refurbishment,421.5,40,900,850,0.48,22.5,22.98,827.02,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Ranchi,Jharkhand,23.3441,85.3096,mid_periphery,Kolkata,324.3,421.5,state_capital_collection
Component harvesting,421.5,40,900,200,0.48,22.5,22.98,177.02,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Ranchi,Jharkhand,23.3441,85.3096,mid_periphery,Kolkata,324.3,421.5,state_capital_collection
Material recycling,421.5,40,900,-35,0.48,22.5,22.98,-57.98,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Ranchi,Jharkhand,23.3441,85.3096,mid_periphery,Kolkata,324.3,421.5,state_capital_collection
Refurbishment,681.0,40,900,850,0.78,22.5,23.28,826.72,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Guwahati,Assam,26.1445,91.7362,mid_periphery,Kolkata,523.8,681.0,state_capital_collection
Component harvesting,681.0,40,900,200,0.78,22.5,23.28,176.72,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Guwahati,Assam,26.1445,91.7362,mid_periphery,Kolkata,523.8,681.0,state_capital_collection
Material recycling,681.0,40,900,-35,0.78,22.5,23.28,-58.28,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Guwahati,Assam,26.1445,91.7362,mid_periphery,Kolkata,523.8,681.0,state_capital_collection
Refurbishment,296.7,40,900,850,0.34,22.5,22.84,827.16,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Coimbatore,Tamil Nadu,11.0168,76.9558,mid_periphery,Bengaluru,228.2,296.7,state_capital_collection
Component harvesting,296.7,40,900,200,0.34,22.5,22.84,177.16,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Coimbatore,Tamil Nadu,11.0168,76.9558,mid_periphery,Bengaluru,228.2,296.7,state_capital_collection
Material recycling,296.7,40,900,-35,0.34,22.5,22.84,-57.84,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Coimbatore,Tamil Nadu,11.0168,76.9558,mid_periphery,Bengaluru,228.2,296.7,state_capital_collection
Refurbishment,311.1,40,900,850,0.35,22.5,22.85,827.15,1.0,0.9349,0.8,1.0,0.76,0.5684,—,1.0,True,Chandigarh,Chandigarh,30.7333,76.7794,mid_periphery,Delhi-NCR,239.3,311.1,state_capital_collection
Component harvesting,311.1,40,900,200,0.35,22.5,22.85,177.15,0.0,0.9349,0.8,1.0,0.76,0.0,Availability,0.55,False,Chandigarh,Chandigarh,30.7333,76.7794,mid_periphery,Delhi-NCR,239.3,311.1,state_capital_collection
Material recycling,311.1,40,900,-35,0.35,22.5,22.85,-57.85,1.0,0.9349,0.8,0.0,0.76,0.0,Viability,0.2,True,Chandigarh,Chandigarh,30.7333,76.7794,mid_periphery,Delhi-NCR,239.3,311.1,state_capital_collection
Refurbishment,741.7,1,250,850,0.85,250.0,250.85,599.15,1.0,0.0027,0.8,1.0,0.34,0.0007,Accessibility,1.0,True,Nuapada,Odisha,20.807,82.533,hinterland,Hyderabad,570.5,741.7,no_node
Component harvesting,741.7,1,250,200,0.85,250.0,250.85,-50.85,0.0,0.0027,0.8,0.0,0.34,0.0,Availability,0.55,False,Nuapada,Odisha,20.807,82.533,hinterland,Hyderabad,570.5,741.7,no_node
Material recycling,741.7,1,250,-35,0.85,250.0,250.85,-285.85,1.0,0.0027,0.8,0.0,0.34,0.0,Viability,0.2,True,Nuapada,Odisha,20.807,82.533,hinterland,Hyderabad,570.5,741.7,no_node
Refurbishment,741.7,60,1400,850,0.85,23.33,24.18,825.82,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Nuapada,Odisha,20.807,82.533,hinterland,Hyderabad,570.5,741.7,with_aggregation_node
Component harvesting,741.7,60,1400,200,0.85,23.33,24.18,175.82,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Nuapada,Odisha,20.807,82.533,hinterland,Hyderabad,570.5,741.7,with_aggregation_node
Material recycling,741.7,60,1400,-35,0.85,23.33,24.18,-59.18,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Nuapada,Odisha,20.807,82.533,hinterland,Hyderabad,570.5,741.7,with_aggregation_node
Refurbishment,737.3,1,250,850,0.84,250.0,250.84,599.16,1.0,0.0029,0.8,1.0,0.34,0.0008,Accessibility,1.0,True,Bhawanipatna,Odisha,19.9072,83.1661,hinterland,Hyderabad,567.1,737.3,no_node
Component harvesting,737.3,1,250,200,0.84,250.0,250.84,-50.84,0.0,0.0029,0.8,0.0,0.34,0.0,Availability,0.55,False,Bhawanipatna,Odisha,19.9072,83.1661,hinterland,Hyderabad,567.1,737.3,no_node
Material recycling,737.3,1,250,-35,0.84,250.0,250.84,-285.84,1.0,0.0029,0.8,0.0,0.34,0.0,Viability,0.2,True,Bhawanipatna,Odisha,19.9072,83.1661,hinterland,Hyderabad,567.1,737.3,no_node
Refurbishment,737.3,60,1400,850,0.84,23.33,24.17,825.83,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Bhawanipatna,Odisha,19.9072,83.1661,hinterland,Hyderabad,567.1,737.3,with_aggregation_node
Component harvesting,737.3,60,1400,200,0.84,23.33,24.17,175.83,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Bhawanipatna,Odisha,19.9072,83.1661,hinterland,Hyderabad,567.1,737.3,with_aggregation_node
Material recycling,737.3,60,1400,-35,0.84,23.33,24.17,-59.17,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Bhawanipatna,Odisha,19.9072,83.1661,hinterland,Hyderabad,567.1,737.3,with_aggregation_node
Refurbishment,423.8,1,250,850,0.48,250.0,250.48,599.52,1.0,0.1105,0.8,1.0,0.34,0.0301,Accessibility,1.0,True,Barmer,Rajasthan,25.7521,71.3967,hinterland,Ahmedabad,326.0,423.8,no_node
Component harvesting,423.8,1,250,200,0.48,250.0,250.48,-50.48,0.0,0.1105,0.8,0.0,0.34,0.0,Availability,0.55,False,Barmer,Rajasthan,25.7521,71.3967,hinterland,Ahmedabad,326.0,423.8,no_node
Material recycling,423.8,1,250,-35,0.48,250.0,250.48,-285.48,1.0,0.1105,0.8,0.0,0.34,0.0,Viability,0.2,True,Barmer,Rajasthan,25.7521,71.3967,hinterland,Ahmedabad,326.0,423.8,no_node
Refurbishment,423.8,60,1400,850,0.48,23.33,23.82,826.18,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Barmer,Rajasthan,25.7521,71.3967,hinterland,Ahmedabad,326.0,423.8,with_aggregation_node
Component harvesting,423.8,60,1400,200,0.48,23.33,23.82,176.18,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Barmer,Rajasthan,25.7521,71.3967,hinterland,Ahmedabad,326.0,423.8,with_aggregation_node
Material recycling,423.8,60,1400,-35,0.48,23.33,23.82,-58.82,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Barmer,Rajasthan,25.7521,71.3967,hinterland,Ahmedabad,326.0,423.8,with_aggregation_node
Refurbishment,603.5,1,250,850,0.69,250.0,250.69,599.31,1.0,0.0142,0.8,1.0,0.34,0.0039,Accessibility,1.0,True,Jaisalmer,Rajasthan,26.9157,70.9083,hinterland,Ahmedabad,464.2,603.5,no_node
Component harvesting,603.5,1,250,200,0.69,250.0,250.69,-50.69,0.0,0.0142,0.8,0.0,0.34,0.0,Availability,0.55,False,Jaisalmer,Rajasthan,26.9157,70.9083,hinterland,Ahmedabad,464.2,603.5,no_node
Material recycling,603.5,1,250,-35,0.69,250.0,250.69,-285.69,1.0,0.0142,0.8,0.0,0.34,0.0,Viability,0.2,True,Jaisalmer,Rajasthan,26.9157,70.9083,hinterland,Ahmedabad,464.2,603.5,no_node
Refurbishment,603.5,60,1400,850,0.69,23.33,24.02,825.98,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Jaisalmer,Rajasthan,26.9157,70.9083,hinterland,Ahmedabad,464.2,603.5,with_aggregation_node
Component harvesting,603.5,60,1400,200,0.69,23.33,24.02,175.98,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Jaisalmer,Rajasthan,26.9157,70.9083,hinterland,Ahmedabad,464.2,603.5,with_aggregation_node
Material recycling,603.5,60,1400,-35,0.69,23.33,24.02,-59.02,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Jaisalmer,Rajasthan,26.9157,70.9083,hinterland,Ahmedabad,464.2,603.5,with_aggregation_node
Refurbishment,449.7,1,250,850,0.51,250.0,250.51,599.49,1.0,0.0834,0.8,1.0,0.34,0.0227,Accessibility,1.0,True,Dantewada,Chhattisgarh,18.8945,81.3496,hinterland,Hyderabad,346.0,449.7,no_node
Component harvesting,449.7,1,250,200,0.51,250.0,250.51,-50.51,0.0,0.0834,0.8,0.0,0.34,0.0,Availability,0.55,False,Dantewada,Chhattisgarh,18.8945,81.3496,hinterland,Hyderabad,346.0,449.7,no_node
Material recycling,449.7,1,250,-35,0.51,250.0,250.51,-285.51,1.0,0.0834,0.8,0.0,0.34,0.0,Viability,0.2,True,Dantewada,Chhattisgarh,18.8945,81.3496,hinterland,Hyderabad,346.0,449.7,no_node
Refurbishment,449.7,60,1400,850,0.51,23.33,23.85,826.15,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Dantewada,Chhattisgarh,18.8945,81.3496,hinterland,Hyderabad,346.0,449.7,with_aggregation_node
Component harvesting,449.7,60,1400,200,0.51,23.33,23.85,176.15,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Dantewada,Chhattisgarh,18.8945,81.3496,hinterland,Hyderabad,346.0,449.7,with_aggregation_node
Material recycling,449.7,60,1400,-35,0.51,23.33,23.85,-58.85,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Dantewada,Chhattisgarh,18.8945,81.3496,hinterland,Hyderabad,346.0,449.7,with_aggregation_node
Refurbishment,973.1,1,250,850,1.11,250.0,251.11,598.89,1.0,0.0002,0.8,1.0,0.34,0.0,Accessibility,1.0,True,Kiphire,Nagaland,25.896,94.786,hinterland,Kolkata,748.5,973.1,no_node
Component harvesting,973.1,1,250,200,1.11,250.0,251.11,-51.11,0.0,0.0002,0.8,0.0,0.34,0.0,Availability,0.55,False,Kiphire,Nagaland,25.896,94.786,hinterland,Kolkata,748.5,973.1,no_node
Material recycling,973.1,1,250,-35,1.11,250.0,251.11,-286.11,1.0,0.0002,0.8,0.0,0.34,0.0,Viability,0.2,True,Kiphire,Nagaland,25.896,94.786,hinterland,Kolkata,748.5,973.1,no_node
Refurbishment,973.1,60,1400,850,1.11,23.33,24.44,825.56,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Kiphire,Nagaland,25.896,94.786,hinterland,Kolkata,748.5,973.1,with_aggregation_node
Component harvesting,973.1,60,1400,200,1.11,23.33,24.44,175.56,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Kiphire,Nagaland,25.896,94.786,hinterland,Kolkata,748.5,973.1,with_aggregation_node
Material recycling,973.1,60,1400,-35,1.11,23.33,24.44,-59.44,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Kiphire,Nagaland,25.896,94.786,hinterland,Kolkata,748.5,973.1,with_aggregation_node
Refurbishment,763.6,1,250,850,0.87,250.0,250.87,599.13,1.0,0.0021,0.8,1.0,0.34,0.0006,Accessibility,1.0,True,Tamenglong,Manipur,24.993,93.496,hinterland,Kolkata,587.4,763.6,no_node
Component harvesting,763.6,1,250,200,0.87,250.0,250.87,-50.87,0.0,0.0021,0.8,0.0,0.34,0.0,Availability,0.55,False,Tamenglong,Manipur,24.993,93.496,hinterland,Kolkata,587.4,763.6,no_node
Material recycling,763.6,1,250,-35,0.87,250.0,250.87,-285.87,1.0,0.0021,0.8,0.0,0.34,0.0,Viability,0.2,True,Tamenglong,Manipur,24.993,93.496,hinterland,Kolkata,587.4,763.6,no_node
Refurbishment,763.6,60,1400,850,0.87,23.33,24.2,825.8,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Tamenglong,Manipur,24.993,93.496,hinterland,Kolkata,587.4,763.6,with_aggregation_node
Component harvesting,763.6,60,1400,200,0.87,23.33,24.2,175.8,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Tamenglong,Manipur,24.993,93.496,hinterland,Kolkata,587.4,763.6,with_aggregation_node
Material recycling,763.6,60,1400,-35,0.87,23.33,24.2,-59.2,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Tamenglong,Manipur,24.993,93.496,hinterland,Kolkata,587.4,763.6,with_aggregation_node
Refurbishment,573.2,1,250,850,0.65,250.0,250.65,599.35,1.0,0.0203,0.8,1.0,0.34,0.0055,Accessibility,1.0,True,Keylong,Himachal Pradesh,32.576,77.033,hinterland,Delhi-NCR,440.9,573.2,no_node
Component harvesting,573.2,1,250,200,0.65,250.0,250.65,-50.65,0.0,0.0203,0.8,0.0,0.34,0.0,Availability,0.55,False,Keylong,Himachal Pradesh,32.576,77.033,hinterland,Delhi-NCR,440.9,573.2,no_node
Material recycling,573.2,1,250,-35,0.65,250.0,250.65,-285.65,1.0,0.0203,0.8,0.0,0.34,0.0,Viability,0.2,True,Keylong,Himachal Pradesh,32.576,77.033,hinterland,Delhi-NCR,440.9,573.2,no_node
Refurbishment,573.2,60,1400,850,0.65,23.33,23.99,826.01,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Keylong,Himachal Pradesh,32.576,77.033,hinterland,Delhi-NCR,440.9,573.2,with_aggregation_node
Component harvesting,573.2,60,1400,200,0.65,23.33,23.99,176.01,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Keylong,Himachal Pradesh,32.576,77.033,hinterland,Delhi-NCR,440.9,573.2,with_aggregation_node
Material recycling,573.2,60,1400,-35,0.65,23.33,23.99,-58.99,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Keylong,Himachal Pradesh,32.576,77.033,hinterland,Delhi-NCR,440.9,573.2,with_aggregation_node
Refurbishment,782.2,1,250,850,0.89,250.0,250.89,599.11,1.0,0.0017,0.8,1.0,0.34,0.0005,Accessibility,1.0,True,Leh,Ladakh,34.1526,77.5771,hinterland,Moradabad,601.7,782.2,no_node
Component harvesting,782.2,1,250,200,0.89,250.0,250.89,-50.89,0.0,0.0017,0.8,0.0,0.34,0.0,Availability,0.55,False,Leh,Ladakh,34.1526,77.5771,hinterland,Moradabad,601.7,782.2,no_node
Material recycling,782.2,1,250,-35,0.89,250.0,250.89,-285.89,1.0,0.0017,0.8,0.0,0.34,0.0,Viability,0.2,True,Leh,Ladakh,34.1526,77.5771,hinterland,Moradabad,601.7,782.2,no_node
Refurbishment,782.2,60,1400,850,0.89,23.33,24.22,825.78,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Leh,Ladakh,34.1526,77.5771,hinterland,Moradabad,601.7,782.2,with_aggregation_node
Component harvesting,782.2,60,1400,200,0.89,23.33,24.22,175.78,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Leh,Ladakh,34.1526,77.5771,hinterland,Moradabad,601.7,782.2,with_aggregation_node
Material recycling,782.2,60,1400,-35,0.89,23.33,24.22,-59.22,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Leh,Ladakh,34.1526,77.5771,hinterland,Moradabad,601.7,782.2,with_aggregation_node
Refurbishment,1861.2,1,250,850,2.12,250.0,252.12,597.88,1.0,0.0,0.8,1.0,0.34,0.0,Accessibility,1.0,True,Car Nicobar,Andaman and Nicobar,9.174,92.777,hinterland,Chennai,1431.7,1861.2,no_node
Component harvesting,1861.2,1,250,200,2.12,250.0,252.12,-52.12,0.0,0.0,0.8,0.0,0.34,0.0,Availability,0.55,False,Car Nicobar,Andaman and Nicobar,9.174,92.777,hinterland,Chennai,1431.7,1861.2,no_node
Material recycling,1861.2,1,250,-35,2.12,250.0,252.12,-287.12,1.0,0.0,0.8,0.0,0.34,0.0,Viability,0.2,True,Car Nicobar,Andaman and Nicobar,9.174,92.777,hinterland,Chennai,1431.7,1861.2,no_node
Refurbishment,1861.2,60,1400,850,2.12,23.33,25.46,824.54,1.0,0.9349,0.75,1.0,0.76,0.5329,—,1.0,True,Car Nicobar,Andaman and Nicobar,9.174,92.777,hinterland,Chennai,1431.7,1861.2,with_aggregation_node
Component harvesting,1861.2,60,1400,200,2.12,23.33,25.46,174.54,0.0,0.9349,0.75,1.0,0.76,0.0,Availability,0.55,False,Car Nicobar,Andaman and Nicobar,9.174,92.777,hinterland,Chennai,1431.7,1861.2,with_aggregation_node
Material recycling,1861.2,60,1400,-35,2.12,23.33,25.46,-60.46,1.0,0.9349,0.75,0.0,0.76,0.0,Viability,0.2,True,Car Nicobar,Andaman and Nicobar,9.174,92.777,hinterland,Chennai,1431.7,1861.2,with_aggregation_node
Refurbishment,387.4,1,250,850,0.44,250.0,250.44,599.56,1.0,0.1613,0.8,1.0,0.34,0.0439,Legibility,1.0,True,Bhuj,Gujarat,23.242,69.6669,hinterland,Ahmedabad,298.0,387.4,no_node
